Algeria,Africa,People's Democratic Republic of Algeria,2381740,44177969
Angola,Africa,Republic of Angola,1246700,34503774
Benin,Africa,Republic of Benin,112622,12996895
Botswana,Africa,Republic of Botswana,581726,2588423
Burkina Faso,Africa,People's Republic of Burkina Faso,274000,22100683
Burundi,Africa,Republic of Burundi,27830,12551213
Cameroon,Africa,Republic of Cameroon,475442,27198628
Cape Verde,Africa,Republic of Cabo Verde,4033,587925
Central African Republic,Africa,Central African Republic,622984,5457154
Chad,Africa,Republic of Chad,1284000,17179740
Comoros,Africa,Union of the Comoros,2235,821625
DR Congo,Africa,Democratic Republic of the Congo,2344858,95894118
Congo-Brazzaville,Africa,Republic of the Congo,342000,5835806
Djibouti,Africa,Republic of Djibouti,23200,1105557
Egypt,Africa,Arab Republic of Egypt,1001449,109262178
Equatorial Guinea,Africa,Republic of Equatorial Guinea,28051,1634466
Eritrea,Africa,State of Eritrea,117600,3620312
Eswatini,Africa,Kingdom of Eswatini,17364,1192271
Ethiopia,Africa,Federal Democratic Republic of Ethiopia,1104300,120283026
Gabon,Africa,Gabonese Republic,267668,2341179
Gambia,Africa,Republic of the Gambia,10380,2639916
Ghana,Africa,Republic of Ghana,238534,32833031
Guinea,Africa,Republic of Guinea,245857,13531906
Guinea-Bissau,Africa,Republic of Guinea-Bissau,36125,2060721
Ivory Coast,Africa,Republic of Cote d'Ivoire,322460,27478249
Kenya,Africa,Republic of Kenya,580367,53005614
Lesotho,Africa,Kingdom of Lesotho,30355,2281454
Liberia,Africa,Republic of Liberia,111369,5193416
Libya,Africa,State of Libya,1759540,6735277
Madagascar,Africa,Republic of Madagascar,587041,28915653
Malawi,Africa,Republic of Malawi,118484,19889742
Mali,Africa,Republic of Mali,1240192,21904983
Mauritania,Africa,Islamic Republic of Mauritania,1030700,4614974
Mauritius,Africa,Republic of Mauritius,2040,1298915
Morocco,Africa,Kingdom of Morocco,446550,37076584
Mozambique,Africa,Republic of Mozambique,801590,32077072
Namibia,Africa,Republic of Namibia,825418,2530151
Niger,Africa,Republic of the Niger,1267000,25252722
Nigeria,Africa,Federal Republic of Nigeria,923768,213401323
Rwanda,Africa,Republic of Rwanda,26798,13461888
Sao Tome and Principe,Africa,Democratic Republic of Sao Tome and Principe,964,223107
Senegal,Africa,Republic of Senegal,196723,16876720
Seychelles,Africa,Republic of Seychelles,451,106471
Sierra Leone,Africa,Republic of Sierra Leone,71740,8420641
Somalia,Africa,Federal Republic of Somalia,637657,17065581
Somaliland,Africa,Republic of Somaliland,176120,4000000
South Africa,Africa,Republic of South Africa,1221037,59392255
South Sudan,Africa,Republic of South Sudan,644329,10748272
Sudan,Africa,Republic of the Sudan,1861484,45657202
Tanzania,Africa,United Republic of Tanzania,945203,63588334
Togo,Africa,Togolese Republic,56785,8644829
Tunisia,Africa,Republic of Tunisia,163610,12262946
Uganda,Africa,Republic of Uganda,236040,45853778
Western Sahara,Africa,Western Sahara (Sahrawi Arab Democratic Republic),267405,582478
Zambia,Africa,Republic of Zambia,752614,19473125
Zimbabwe,Africa,Republic of Zimbabwe,390757,15993524
