Afghanistan,Asia,Islamic Republic of Afghanistan,652864,40099462
Bahrain,Asia,Kingdom of Bahrain,760,1463265
Bangladesh,Asia,People's Republic of Bangladesh,147570,169356251
Bhutan,Asia,Kingdom of Bhutan,38394,777486
Brunei,Asia,State of Brunei Darussalam (The Abode of Peace),5765,445373
Cambodia,Asia,Kingdom of Cambodia,181035,16589023
China,Asia,People's Republic of China,9596961,1425893465
East Timor,Asia,Democratic Republic of Timor-Leste,14874,1320942
Hong Kong,Asia,Hong Kong Special Administrative Region of the PRC,2754,7494578
India,Asia,Republic of India,3287263,1407563842
Indonesia,Asia,Republic of Indonesia,1904569,273753191
Iran,Asia,Islamic Republic of Iran,1648195,87923432
Iraq,Asia,Republic of Iraq,438317,43533592
Israel,Asia,State of Israel,20770,8900059
Japan,Asia,Japan,377915,124612530
Jordan,Asia,Hashemite Kingdom of Jordan,89342,11148278
Kazakhstan,Asia,Republic of Kazakhstan,2724900,19196465
Kuwait,Asia,State of Kuwait,17818,4250114
Kyrgyzstan,Asia,Kyrgyz Republic,199951,6527743
Laos,Asia,Lao People's Democratic Republic,236800,7425057
Lebanon,Asia,Republic of Lebanon,10400,5592631
Macau,Asia,Macao Special Administrative Region of the PRC,32.9,686607
Malaysia,Asia,Malaysia,329847,33573874
Maldives,Asia,Republic of Maldives,298,521457
Mongolia,Asia,Mongolia,1564116,3347782
Myanmar,Asia,Republic of the Union of Myanmar,676578,53798084
Nepal,Asia,Federal Democratic Republic of Nepal,147181,30034989
North Korea,Asia,Democratic People's Republic of Korea,120538,25971909
Oman,Asia,Sultanate of Oman,309500,4520471
Pakistan,Asia,Islamic Republic of Pakistan,881913,211103000
Palestine,Asia,State of Palestine,6220,5133392
Philippines,Asia,Republic of the Philippines,343448,113880328
Qatar,Asia,State of Qatar,11586,2688235
Russia (Asian),Asia,Russian Federation,13145692,37472336
Saudi Arabia,Asia,Kingdom of Saudi Arabia,2149690,35950396
Singapore,Asia,Republic of Singapore,697,5941060
South Korea,Asia,Republic of Korea,100210,51830139
Sri Lanka,Asia,Democratic Socialist Republic of Sri Lanka,65610,21773441
Syria,Asia,Syrian Arab Republic,185180,21324367
Taiwan,Asia,Republic of China,36193,23859912
Tajikistan,Asia,Republic of Tajikistan,143100,9750064
Thailand,Asia,Kingdom of Thailand,513120,71601103
Turkmenistan,Asia,Turkmenistan,488100,6341855
United Arab Emirates,Asia,United Arab Emirates,83600,9365145
Uzbekistan,Asia,Republic of Uzbekistan,447400,34081449
Vietnam,Asia,Socialist Republic of Vietnam,331212,97468029
Yemen,Asia,Republic of Yemen,527968,32981641
