Alabama,USA,Alabama (The Yellowhammer State),135767,5024279
Alaska,USA,Alaska (The Last Frontier),1723337,733391
Arizona,USA,Arizona (The Grand Canyon State),295234,7151502
Arkansas,USA,Arkansas (The Natural State),137732,3011524
California,USA,California (The Golden State),423967,39538223
Colorado,USA,Colorado (The Centennial State),269601,5773714
Connecticut,USA,Connecticut (The Constitution State),14357,3605944
Delaware,USA,Delaware (The First State),6446,989948
Florida,USA,Florida (The Sunshine State),170312,21538187
Georgia (US),USA,Georgia (The Peach State),153910,10711908
Hawaii,USA,Hawaii (The Aloha State),28313,1455271
Idaho,USA,Idaho (The Gem State),216443,1839106
Illinois,USA,Illinois (The Prairie State),149995,12812508
Indiana,USA,Indiana (The Hoosier State),94326,6785528
Iowa,USA,Iowa (The Hawkeye State),145746,3190369
Kansas,USA,Kansas (The Sunflower State),213100,2937880
Kentucky,USA,Commonwealth of Kentucky (The Bluegrass State),104656,4505836
Louisiana,USA,Louisiana (The Pelican State),135659,4657757
Maine,USA,Maine (The Pine Tree State),91633,1362359
Maryland,USA,Maryland (The Old Line State),32131,6177224
Massachusetts,USA,Commonwealth of Massachusetts (The Bay State),27336,7029917
Michigan,USA,Michigan (The Great Lake State),250487,10077331
Minnesota,USA,Minnesota (The North Star State),225163,5706494
Mississippi,USA,Mississippi (The Magnolia State),125438,2961279
Missouri,USA,Missouri (The Show Me State),180540,6154913
Montana,USA,Montana (The Treasure State),380831,1084225
Nebraska,USA,Nebraska (The Cornhusker State),200330,1961504
Nevada,USA,Nevada (The Silver State),286380,3104614
New Hampshire,USA,New Hampshire (The Granite State),24214,1377529
New Jersey,USA,New Jersey (The Garden State),22591,9288994
New Mexico,USA,New Mexico (The Land of Enchantment),314917,2117522
New York,USA,New York State (The Empire State),141297,20201249
North Carolina,USA,North Carolina (The Tarheel State),139391,10439388
North Dakota,USA,North Dakota (The Peace Garden State),183108,779094
Ohio,USA,Ohio (The Buckeye State),116098,11799448
Oklahoma,USA,Oklahoma (The Sooner State),181037,3959353
Oregon,USA,Oregon (The Beaver State),254799,4237256
Pennsylvania,USA,Commonwealth of Pennsylvania (The Keystone State),119280,13002700
Rhode Island,USA,State of Rhode Island (The Ocean State),4001,1097379
South Carolina,USA,South Carolina (The Palmetto State),82933,5118425
South Dakota,USA,South Dakota (The Mount Rushmore State),199729,886667
Tennessee,USA,Tennessee (The Volunteer State),109153,6910840
Texas,USA,Texas (The Lone Star State),695662,29145505
Utah,USA,Utah (The Beehive State),219882,3271616
Vermont,USA,Vermont (The Green Mountain State),24906,643077
Virginia,USA,Commonwealth of Virginia (The Old Dominion),110787,8631393
Washington,USA,Washington (The Evergreen State),184661,7705281
West Virginia,USA,West Virginia (The Mountain State),62756,1793716
Wisconsin,USA,Wisconsin (The Badger State),169635,5893718
Wyoming,USA,Wyoming (The Equality State),253335,576851
